site_name,site_id,cammlr_region,lon,lat,common_name,day,month,year,season_starting,penguin_count,accuracy,count_type,vantage,reference,is_outlier,log_count,decade,species_label,count_zscore,count_minmax,PC1,PC2
Watson Peninsula (east coast),WPEC,48.2,-44.544,-60.676,gentoo penguin,28.0,12.0,1983,1983,28.0,1.0,nests,ground,"<p id=""poncet1985survey"" class=""reference"">Poncet  S. and J. Poncet (1985). &ldquo;A survey of penguin breeding populations at the South Orkey Islands&rdquo;. In: <em>British Antarctic Survey Bulletin</em> 68  pp. 71&ndash;81.</p>",False,3.367295829986474,1980s,Gentoo,-0.8651067209036097,0.00279879755364362,4.9007828039260035,-3.6644805720966733
Ardley Island,ARDL,48.1,-58.933,-62.213,gentoo penguin,,11.0,1984,1984,3105.0,1.0,nests,ground,"<p id=""meeting2009management150"" class=""reference"">Antarctic Treaty Consultative Meeting (2009). <em>Management plan for Antarctic Specially Protected Area No. 150: Ardley Island  Maxwell Bay  King George Island (25 De Mayo)</em>. Final Report of the Thirty-second Antarctic Treaty Consultative Meeting Measure 9. Baltimore  United States: Antarctic Treaty System.</p>",False,8.041091003708633,1980s,Gentoo,1.028572121465289,0.32175805950036285,2.257924903844924,0.37365046658338663
Barton Peninsula,BART,48.1,-58.775,-62.237,gentoo penguin,,11.0,1984,1984,500.0,2.0,nests,unknown,"<p id=""meeting2014management171"" class=""reference"">Antarctic Treaty Consultative Meeting (2014). <em>Management plan for Antarctic Specially Protected Area No. 171: Nar&eogon;bski Point  Barton Peninsula  King George Island</em>. Final Report of the Thirty-seventh Antarctic Treaty Consultative Meeting Measure 11. Brasilia  Brasil: Antarctic Treaty System.</p>",False,6.2166061010848646,1980s,Gentoo,-0.5746236485610293,0.051725925158080235,1.6491839621573159,-1.5343550716018555
Dorian Bay/Damoy Point,DAMO,48.1,-63.497,-64.815,gentoo penguin,27.0,1.0,1984,1983,828.0,1.0,nests,ground,"<p id=""poncet1987censuses"" class=""reference"">Poncet  S. and J. Poncet (1987). &ldquo;Censuses of penguin populations of the Antarctic Peninsula 1983-1987&rdquo;. In: <em>British Antarctic Survey Bulletin</em> 77  pp. 109&ndash;129.</p>",False,6.720220155135295,1980s,Gentoo,-0.3727625304924564,0.08572613247641754,-0.5257011294473781,-0.3202900478165048
Gosling Islands,GOSL,48.2,-45.924,-60.642,gentoo penguin,4.0,1.0,1984,1983,874.0,1.0,nests,ground,"<p id=""poncet1985survey"" class=""reference"">Poncet  S. and J. Poncet (1985). &ldquo;A survey of penguin breeding populations at the South Orkey Islands&rdquo;. In: <em>British Antarctic Survey Bulletin</em> 68  pp. 71&ndash;81.</p>",False,6.774223886357614,1980s,Gentoo,-0.34445273954381506,0.09049445423447704,5.109319719264279,-2.048022997392841
Joubin Islands,JOUB,48.1,-64.399,-64.774,gentoo penguin,13.0,1.0,1984,1983,50.0,1.0,nests,ground,"<p id=""parmalee1987revised"" class=""reference"">Parmalee  D. F. and J. M. Parmalee (1987). &ldquo;Revised penguin numbers and distributions for Anvers Island  Antarctica&rdquo;. In: <em>British Antarctic Survey Bulletin</em> 76  pp. 65&ndash;73.</p>",False,3.9318256327243257,1980s,Gentoo,-0.8515672556673031,0.005079299264019902,-1.0985433548533838,-1.518935806266429
Jougla Point,JOUG,48.1,-63.493,-64.827,gentoo penguin,25.0,1.0,1984,1983,786.0,1.0,nests,ground,"<p id=""poncet1987censuses"" class=""reference"">Poncet  S. and J. Poncet (1987). &ldquo;Censuses of penguin populations of the Antarctic Peninsula 1983-1987&rdquo;. In: <em>British Antarctic Survey Bulletin</em> 77  pp. 109&ndash;129.</p>",False,6.668228248417403,1980s,Gentoo,-0.39861060048904196,0.0813724473929719,-0.5438312193476543,-0.35323811408578876
Llano Point,LLAN,48.1,-58.446,-62.176,gentoo penguin,,11.0,1984,1984,2115.0,1.0,nests,ground,"<p id=""hinke2019census"" class=""reference"">Hinke  J. T. (2019). &ldquo;Census Data of Colonial Penguins in Antarctica from 1977 to 2015 (NCEI Accession 0185113)&rdquo;. NOAA National Centers for Environmental Information. DOI: <a href=""https://doi.org/10.25921/58yq-7g68"">10.25921/58yq-7g68</a>.</p>",False,7.65728279297819,1980s,Gentoo,0.41929618583148665,0.2191354825334301,2.1541974243878967,-0.18053651140904958
Mikkelsen Harbor (Trinity Island),MIKK,48.1,-60.791,-63.902,gentoo penguin,16.0,1.0,1984,1983,300.0,4.0,nests,ground,"<p id=""poncet1987censuses"" class=""reference"">Poncet  S. and J. Poncet (1987). &ldquo;Censuses of penguin populations of the Antarctic Peninsula 1983-1987&rdquo;. In: <em>British Antarctic Survey Bulletin</em> 77  pp. 109&ndash;129.</p>",False,5.707110264748875,1980s,Gentoo,-0.6977096961638176,0.030994091427386752,0.36830829238265406,-1.9725704917129172
Stranger Point,STRA,48.1,-58.616,-62.26,gentoo penguin,,11.0,1984,1984,1900.0,3.0,nests,ground,"<p id=""hahn1998potter"" class=""reference"">Hahn  S.  H. Peter  P. Quillfeldt  et al. (1998). &ldquo;The birds of the Potter Peninsula  King George Island  South Shetland Islands  Antarctica  1965&ndash;1998&rdquo;. In: <em>Marine Ornithology</em> 26.1&ndash;2  pp. 1&ndash;6.</p>",False,7.550135342488429,1980s,Gentoo,0.2869786846584892,0.1968487612729346,2.0848037524024368,-0.8088644671825699
